RSSDID,DATE,TOTLOAN_NET,ROA,CAPITAL_RATIO,event
262068,20041231,911976,0.011789144,0.080650289,0
267755,19950331,35674,0.002978112,0.058199645,0
267755,19950630,36887,0.005626154,0.059887405,0
267755,19950930,40580,0.008670244,0.060842764,0
267755,19951231,42279,0.012138251,0.064386948,0
267755,19960331,45841,0.00337663,0.062164342,0
267755,19960630,47723,0.007026855,0.063735377,0
267755,19960930,49025,0.010274407,0.065543229,0
267755,19961231,50467,0.014125052,0.069223564,0
267755,19970331,50182,0.00294698,0.067739136,0
267755,19970630,52346,0.007707688,0.069106899,0
267755,19970930,55361,0.012258709,0.070803021,0
267755,19971231,55122,0.016069589,0.069639602,0
267755,19980331,58314,0.004227133,0.070091343,0
267755,19980630,57425,0.009515579,0.072639384,0
267755,19980930,59580,0.014885193,0.073767565,0
267755,19981231,61133,0.019173147,0.072524492,0
267755,19990331,63219,0.004153968,0.070796314,0
267755,19990630,61698,0.007780933,0.065826554,0
267755,19990930,63524,0.010991507,0.067051994,0
267755,19991231,66847,0.014619088,0.059996337,0
267755,20000331,65814,0.002928246,0.061787329,0
267755,20000630,65806,0.005410903,0.062408372,0
267755,20000930,67541,0.00800736,0.064906466,0
267755,20001231,69148,0.011382627,0.067189054,0
267755,20010331,71221,0.002287284,0.067925442,0
267755,20010630,73600,0.00545382,0.067527366,0
267755,20010930,74277,0.009081765,0.071261601,0
267755,20011231,72216,0.012208182,0.070973521,0
267755,20020331,71762,0.002980689,0.06619576,0
267755,20020630,72168,0.00620622,0.0704347,0
267755,20020930,72455,0.00944021,0.076542465,0
267755,20021231,70153,0.012089215,0.076806911,0
267755,20030331,70866,0.002819225,0.072729306,0
267755,20030630,74542,0.007320494,0.079100152,0
267755,20030930,78197,0.010027809,0.068956856,0
267755,20031231,83456,0.012297652,0.069999378,0
267755,20040331,86857,0.002958684,0.074059929,0
267755,20040630,88954,0.00659923,0.062223793,0
267755,20040930,92525,0.009447141,0.06791984,0
267755,20041231,94547,0.011301829,0.064993816,0
272469,19950331,210182,0.00397114,0.081101315,0
272469,19950630,234580,0.006862562,0.076912794,0
272469,19950930,231514,0.010191235,0.076917357,0
272469,19951231,247935,0.013969119,0.079834729,0
272469,19960331,232201,0.000579697,0.074692966,0
272469,19960630,228496,0.003937635,0.075077388,0
272469,19960930,225978,0.006333669,0.071994198,0
272469,19961231,237833,0.010345995,0.068937183,0
272469,19970331,237041,0.002874222,0.066396473,0
272469,19970630,401163,0.0045388,0.143068772,0
272469,19970930,380648,0.005626765,0.139374138,0
272469,19971231,393934,0.008257992,0.124575783,0
272469,19980331,384841,0.0031222,0.128666231,0
272469,19980630,382967,0.005585701,0.125594639,0
272469,19980930,392078,0.008620911,0.133482456,0
272469,19981231,401413,0.010398074,0.128734818,0
272469,19990331,408920,0.003413457,0.129825825,0
272469,19990630,614858,0.005252791,0.157124594,0
272469,19990930,609565,0.006695532,0.156982158,0
272469,19991231,589755,0.008288222,0.160505982,0
272469,20000331,561090,0.001398676,0.151029861,1
272469,20000630,533443,0.002837288,0.15539128,0
272469,20000930,506583,-0.004121815,0.152712797,0
272469,20001231,142271,-0.00503077,0.304486621,0
272469,20010331,4,0.024264888,0.829467394,0
274164,19950331,38412,0.004028666,0.079369342,0
274164,19950630,38650,0.008462844,0.078322025,0
274164,19950930,38150,0.013926428,0.081857874,0
274164,19951231,38381,0.018036428,0.080448718,0
274164,19960331,40300,0.003854041,0.083553529,0
274164,19960630,40931,0.00735964,0.083331006,0
274164,19960930,42603,0.01082954,0.082795215,1
274164,19961231,45531,0.013583987,0.078325028,0
274164,19970331,48080,0.003398218,0.081372853,0
274164,19970630,49460,0.007230823,0.082198425,0
274164,19970930,49466,0.010709195,0.082335383,0
274164,19971231,49856,0.016799704,0.078517763,0
274164,19980331,50331,0.002777966,0.077316751,0
274164,19980630,50948,0.006774748,0.081030158,0
274164,19980930,52428,0.009389324,0.078241233,0
274164,19981231,53506,0.011617452,0.075663743,0
274164,19990331,54089,0.00300707,0.078077542,0
274164,19990630,57067,0.005796563,0.078241445,0
274164,19990930,58656,0.008991368,0.080802598,0
274164,19991231,59931,0.011395795,0.076168379,0
274164,20000331,62639,0.002922049,0.07928452,0
274164,20000630,64737,0.006450477,0.082980162,0
274164,20000930,67513,0.009876135,0.080813917,0
274164,20001231,71585,0.01243918,0.077374671,0
274164,20010331,74264,0.002340724,0.077340698,0
274164,20010630,78231,0.004975693,0.077528866,0
274164,20010930,83016,0.007467614,0.074478252,0
274164,20011231,85152,0.008725031,0.072997738,0
274164,20020331,87842,0.001622673,0.06956839,0
274164,20020630,91200,0.003328205,0.073261804,0
274164,20020930,90749,0.005506926,0.073891156,0
274164,20021231,92622,0.007375547,0.073659365,0
274164,20030331,94504,0.002096211,0.076671635,0
274164,20030630,96916,0.003994006,0.075829845,0
274164,20030930,98207,0.006213678,0.077921628,0
274164,20031231,101111,0.008466745,0.081218488,0
274164,20040331,102313,0.002111125,0.081050788,0
274164,20040630,104041,0.004015819,0.078061299,0
274164,20040930,109016,0.006361758,0.080233306,0
274164,20041231,112481,0.009787789,0.083986,0
284257,19950331,11199,0.001459287,0.070975529,0
284257,19950630,16182,0.001970628,0.117958975,0
284257,19950930,19243,0.002501824,0.117007776,0
284257,19951231,21375,0.003164021,0.114093365,0
284257,19960331,25671,0.002093853,0.111407146,0
284257,19960630,27950,0.004216488,0.105411996,0
284257,19960930,28755,0.006203698,0.102166513,0
284257,19961231,29058,0.008220753,0.100833205,0
284257,19970331,29165,0.00288902,0.096238151,0
284257,19970630,30753,0.005905458,0.094017852,0
284257,19970930,32432,0.008069374,0.083102023,0
284257,19971231,34274,0.00998073,0.083298931,0
284257,19980331,34743,0.002993623,0.084144518,0
284257,19980630,34835,0.006116772,0.085660763,0
284257,19980930,34700,0.008763481,0.090043499,0
284257,19981231,37580,0.010700941,0.074654641,0
284257,19990331,40337,0.003226516,0.072799393,0
284257,19990630,39757,0.00676116,0.065941614,0
284257,19990930,40447,0.008061971,0.073038609,0
284257,19991231,45550,0.009197369,0.072205481,0
284257,20000331,57276,0.001749445,0.067720943,0
284257,20000630,63675,0.004118706,0.065652771,0
284257,20000930,71423,0.005663401,0.067823132,0
284257,20001231,71170,0.008046653,0.07483144,0
284257,20010331,80140,0.003369914,0.075527159,0
284257,20010630,83805,0.006862882,0.078110731,0
284257,20010930,86863,0.009401591,0.077034622,0
284257,20011231,100139,0.011145078,0.075382076,0
284257,20020331,105403,0.00289665,0.079134978,0
284257,20020630,111351,0.005734987,0.079822332,0
284257,20020930,115586,0.009205088,0.078309094,0
289515,19950331,193901,0.0034576,0.097191409,0
289515,19950630,216187,0.007416598,0.097469254,0
289515,19950930,212966,0.010101622,0.096590136,0
289515,19951231,209976,0.01348622,0.099220741,0
289515,19960331,210176,0.003209495,0.098005411,0
289515,19960630,215161,0.006448854,0.098666312,0
289515,19960930,218369,0.009741275,0.098462707,0
289515,19961231,221108,0.012523516,0.096140159,0
289515,19970331,226150,0.003456066,0.092663321,0
289515,19970630,233966,0.007118478,0.093287798,0
289515,19970930,236675,0.010021901,0.09412107,0
289515,19971231,241235,0.012701531,0.089235184,0
289515,19980331,244942,0.003305899,0.091999829,0
289515,19980630,247645,0.00695957,0.092001838,0
289515,19980930,252267,0.009932328,0.089577131,0
289515,19981231,258488,0.011962319,0.082887466,0
289515,19990331,261155,0.003122848,0.085928172,0
289515,19990630,268520,0.006357487,0.083486941,0
289515,19990930,273260,0.008907078,0.081450778,0
289515,19991231,284084,0.011578413,0.080346162,1
289515,20000331,292916,0.00264134,0.080806681,0
289515,20000630,296254,0.005149206,0.081795547,0
289515,20000930,295417,0.008181189,0.081469656,0
289515,20001231,297981,0.010489311,0.085135989,0
289515,20010331,299610,0.002999445,0.084707012,0
289515,20010630,299947,0.005819234,0.081164874,0
289515,20010930,309767,0.008773082,0.081318677,0
289515,20011231,303192,0.011744722,0.080245199,0
289515,20020331,312707,0.002725961,0.077826135,0
289515,20020630,309208,0.005210262,0.076286897,0
289515,20020930,310175,0.007351753,0.076462311,0
289515,20021231,318056,0.010311377,0.073808742,0
289515,20030331,322238,0.002859048,0.076684898,0
289515,20030630,328972,0.005661169,0.077308504,0
289515,20030930,330427,0.008262403,0.077193501,0
289515,20031231,342309,0.010498882,0.078775792,0
289515,20040331,347400,0.002324581,0.081272915,0
289515,20040630,353060,0.004554087,0.076487216,0
289515,20040930,353974,0.007244774,0.078991692,0
289515,20041231,349869,0.009477101,0.080722005,0
300531,19950331,115597,0.003952202,0.072858504,0
300531,19950630,116015,0.007592596,0.072113947,0
300531,19950930,117051,0.011505561,0.07519827,0
300531,19951231,117402,0.016378853,0.075208404,0
300531,19960331,120012,0.003520598,0.075021224,0
300531,19960630,115472,0.007309333,0.073894911,0
300531,19960930,115360,0.010750795,0.075827393,0
300531,19961231,113110,0.011966778,0.074852927,0
300531,19970331,110371,0.003720606,0.074028191,0
300531,19970630,117845,0.007486374,0.075425503,0
300531,19970930,119057,0.012412519,0.079514477,0
300531,19971231,121734,0.015626014,0.078264248,0
300531,19980331,123631,0.003870546,0.07870085,0
300531,19980630,130991,0.007857784,0.077792244,0
300531,19980930,139745,0.011853769,0.07668072,0
300531,19981231,143127,0.015989955,0.077493296,0
300531,19990331,151022,0.004093738,0.073863606,0
300531,19990630,156196,0.007937077,0.071913269,0
300531,19990930,156736,0.012134114,0.07114116,0
300531,19991231,167350,0.015113876,0.068739858,0
300531,20000331,172239,0.00353295,0.070885001,0
300531,20000630,179575,0.007284514,0.071169929,0
300531,20000930,189038,0.010907384,0.073770205,0
300531,20001231,217283,0.013348094,0.065982138,0
300531,20010331,225784,0.003238493,0.075980966,0
300531,20010630,247621,0.006963664,0.07474165,0
300531,20010930,264393,0.010197662,0.07994122,0
300531,20011231,280948,0.01322755,0.07931649,0
300531,20020331,284303,0.003158213,0.076963343,0
300531,20020630,297677,0.006308603,0.076815249,0
300531,20020930,312631,0.009403512,0.077886121,0
300531,20021231,326157,0.012426603,0.078708962,0
300531,20030331,330746,0.002468037,0.0729655,0
300531,20030630,332974,0.005526733,0.076604694,0
300531,20030930,335803,0.009088678,0.077428413,0
300531,20031231,337061,0.012736596,0.077490146,0
300531,20040331,326655,0.003110059,0.078893001,0
300531,20040630,342249,0.006462674,0.079051617,0
300531,20040930,366694,0.009851305,0.080704034,0
300531,20041231,381586,0.012782191,0.077400253,0
305433,19950331,7754,0.001832604,0.13499125,0
305433,19950630,7919,0.004685046,0.147309976,0
305433,19950930,8371,0.00825947,0.146367009,0
305433,19951231,8960,0.01061208,0.143959092,0
305433,19960331,9272,0.002264631,0.143489907,0
305433,19960630,9312,0.005536284,0.141627365,0
305433,19960930,9810,0.009039705,0.144351933,0
305433,19961231,9967,0.012654563,0.145783193,0
305433,19970331,9944,0.003123356,0.147521616,0
305433,19970630,10624,0.006904917,0.150532934,0
305433,19970930,10511,0.010142798,0.159366039,0
305433,19971231,10486,0.012403768,0.158312937,0
305433,19980331,10734,0.00272963,0.158796906,0
305433,19980630,11505,0.005921025,0.16168124,0
305433,19980930,11292,0.0090848,0.16842141,0
305433,19981231,12431,0.012489089,0.160183218,0
305433,19990331,11888,0.003669174,0.163118903,0
305433,19990630,12315,0.005012234,0.148437099,0
305433,19990930,13515,0.010175116,0.14179055,0
305433,19991231,13563,0.016614109,0.137023494,0
305433,20000331,12693,0.003956463,0.133972958,0
305433,20000630,13122,0.007532511,0.132873411,0
305433,20000930,13586,0.011557864,0.141014277,0
305433,20001231,13317,0.013237948,0.159293033,0
305433,20010331,13133,0.001436487,0.160003095,0
305433,20010630,13991,0.004594204,0.157628101,0
305433,20010930,14091,0.007665924,0.167700168,0
305433,20011231,12937,0.00965423,0.154354503,0
305433,20020331,12727,0.004216658,0.152441399,0
305433,20020630,11539,0.003992045,0.160843586,0
305433,20020930,11671,0.008004166,0.173752925,0
305433,20021231,11256,0.010288382,0.15947491,0
305433,20030331,11594,0.001874789,0.152819311,0
305433,20030630,11713,0.004820484,0.155434561,0
305433,20030930,11242,0.007975389,0.146694443,0
305433,20031231,11708,0.009669002,0.146822358,0
305433,20040331,11105,0.002732147,0.158195128,0
305433,20040630,11618,0.005040678,0.101179684,0
305433,20040930,13294,0.006753465,0.116832052,0
305433,20041231,14265,0.008371781,0.112139323,0
307932,19950331,4152,0.001797753,0.102461209,0
307932,19950331,4152,0.001797753,0.102461209,0
307932,19950630,4879,0.001977661,0.108976392,0
307932,19950630,4879,0.001977661,0.108976392,0
307932,19950930,5598,0.003798251,0.104544476,0
307932,19950930,5598,0.003798251,0.104544476,0
307932,19951231,5715,0.002324714,0.107586453,0
307932,19951231,5715,0.002324714,0.107586453,0
307932,19960331,5709,0.00012943,0.09831074,0
307932,19960331,5709,0.00012943,0.09831074,0
307932,19960630,6425,0.001099416,0.090247395,0
307932,19960630,6425,0.001099416,0.090247395,0
307932,19960930,8048,0.003235363,0.090155163,0
307932,19960930,8048,0.003235363,0.090155163,0
307932,19961231,9773,0.004608295,0.089873418,0
307932,19961231,9773,0.004608295,0.089873418,0
307932,19970331,9993,0.001813894,0.08930131,0
307932,19970331,9993,0.001813894,0.08930131,0
307932,19970630,10864,0.005776815,0.097365148,0
307932,19970630,10864,0.005776815,0.097365148,0
307932,19970930,11010,0.004599567,0.10224073,0
307932,19970930,11010,0.004599567,0.10224073,0
307932,19971231,11044,0.006251229,0.101539661,0
307932,19971231,11044,0.006251229,0.101539661,0
307932,19980331,11068,0.00155129,0.102604669,0
307932,19980331,11068,0.00155129,0.102604669,0
307932,19980630,11290,0.003288153,0.102561188,0
307932,19980630,11290,0.003288153,0.102561188,0
307932,19980930,10885,0.005186682,0.108108108,0
307932,19980930,10885,0.005186682,0.108108108,0
307932,19981231,10415,0.007280112,0.108149451,0
307932,19981231,10415,0.007280112,0.108149451,0
307932,19990331,9556,0.001544634,0.103237063,0
307932,19990331,9556,0.001544634,0.103237063,0
307932,19990630,9728,0.00310321,0.100546037,0
307932,19990630,9728,0.00310321,0.100546037,0
307932,19990930,9329,0.004397091,0.100217538,0
307932,19990930,9329,0.004397091,0.100217538,0
307932,19991231,9230,0.004511278,0.102427801,0
307932,19991231,9230,0.004511278,0.102427801,0
307932,20000331,9338,0.001213996,0.099756409,0
307932,20000331,9338,0.001213996,0.099756409,0
307932,20000630,10039,0.002939393,0.092929647,0
307932,20000630,10039,0.002939393,0.092929647,0
307932,20000930,10540,0.004860735,0.098941411,0
307932,20000930,10540,0.004860735,0.098941411,0
307932,20001231,10781,0.005552392,0.110486416,0
307932,20001231,10781,0.005552392,0.110486416,0
307932,20010331,10876,0.00140366,0.117,0
307932,20010331,10876,0.00140366,0.117,0
307932,20010630,11576,0.003235383,0.116730967,0
307932,20010630,11576,0.003235383,0.116730967,0
307932,20010930,12455,0.005289633,0.11876605,0
307932,20010930,12455,0.005289633,0.11876605,0
307932,20011231,12946,0.005456341,0.110444098,0
307932,20011231,12946,0.005456341,0.110444098,0
307932,20020331,13868,0.00276937,0.103639265,0
307932,20020331,13868,0.00276937,0.103639265,0
307932,20020630,14960,0.004979942,0.10898985,0
307932,20020630,14960,0.004979942,0.10898985,0
307932,20020930,16179,0.009475197,0.113559902,0
307932,20020930,16179,0.009475197,0.113559902,0
307932,20021231,16408,0.01004997,0.107949078,0
307932,20021231,16408,0.01004997,0.107949078,0
307932,20030331,16462,0.001590879,0.098845396,0
307932,20030331,16462,0.001590879,0.098845396,0
307932,20030630,16740,0.003723967,0.107395172,0
307932,20030630,16740,0.003723967,0.107395172,0
307932,20030930,16190,0.006034929,0.095282478,0
307932,20030930,16190,0.006034929,0.095282478,0
307932,20031231,15907,0.006861582,0.090208871,0
307932,20031231,15907,0.006861582,0.090208871,0
307932,20040331,14813,0.00293559,0.086119471,0
307932,20040331,14813,0.00293559,0.086119471,0
307932,20040630,14427,0.005143401,0.081607795,0
307932,20040630,14427,0.005143401,0.081607795,0
307932,20040930,16034,0.005872091,0.083721996,0
307932,20040930,16034,0.005872091,0.083721996,0
307932,20041231,15909,0.004370993,0.079483978,0
307932,20041231,15909,0.004370993,0.079483978,0
308340,19950331,25411,0.001593263,0.091869209,0
308340,19950630,26141,0.003805899,0.090430131,0
308340,19950930,26883,0.006515,0.088548057,0
308340,19951231,26198,0.008420041,0.08742527,0
308340,19960331,26099,0.002124663,0.087122044,0
308340,19960630,29065,0.004991206,0.084153714,0
308340,19960930,29996,0.007221774,0.083615467,0
308340,19961231,30403,0.009514094,0.085213973,0
308340,19970331,31163,0.002167279,0.087596899,0
308340,19970630,33580,0.00561315,0.087842316,0
308340,19970930,35435,0.007833142,0.085350651,1
308340,19971231,35230,0.010082475,0.087469158,0
308340,19980331,36149,0.002056825,0.08896976,0
308340,19980630,36931,0.005949926,0.087903443,0
308340,19980930,38714,0.007774133,0.08826175,0
308340,19981231,38155,0.01027325,0.085505866,0
308340,19990331,37979,0.002359574,0.088280968,0
308340,19990630,39607,0.005143847,0.088847597,0
308340,19990930,40167,0.007028006,0.087705204,0
308340,19991231,42027,0.008596087,0.084306508,0
308340,20000331,42738,0.001721372,0.085890288,0
308340,20000630,45692,0.003764105,0.083669047,0
308340,20000930,48010,0.005302995,0.081876129,0
308340,20001231,47614,0.008146859,0.084105543,0
308340,20010331,48488,0.002267899,0.084513748,0
308340,20010630,51091,0.004205658,0.08168369,0
308340,20010930,51048,0.006812111,0.081938586,0
308340,20011231,52455,0.008579322,0.079312409,0
308340,20020331,54527,0.001842795,0.079667139,0
308340,20020630,61266,0.004442846,0.080955234,0
308340,20020930,62472,0.006897522,0.081216814,0
308340,20021231,63193,0.00934563,0.079973768,0
308340,20030331,66533,0.002714382,0.080643172,0
308340,20030630,71006,0.005661775,0.082516171,0
308340,20030930,73844,0.008012409,0.080656164,0
308340,20031231,73106,0.010605762,0.080864052,0
308340,20040331,72796,0.001953125,0.081310813,0
308340,20040630,82268,0.005068245,0.077941979,0
308340,20040930,82662,0.007775026,0.080831257,0
308340,20041231,82197,0.010648878,0.082987123,0
320155,19950331,20087,0.00114362,0.090951736,0
320155,19950630,22916,0.002645003,0.088096921,0
320155,19950930,28164,0.005003197,0.077576891,0
320155,19951231,30224,0.006028754,0.071702092,0
320155,19960331,32896,0.001578475,0.067022962,0
320155,19960630,54813,0.004790169,0.099073095,0
320155,19960930,58688,0.006210948,0.098315923,0
320155,19961231,58900,0.00983063,0.098812508,0
320155,19970331,60926,0.002333795,0.095054293,0
320155,19970630,78590,0.004533558,0.09157792,0
320155,19970930,84189,0.003897078,0.086649621,0
320155,19971231,85460,0.006619376,0.084466966,0
320155,19980331,93609,0.002987656,0.083442299,0
320155,19980630,98908,0.005466436,0.083831305,0
320155,19980930,102116,0.004943313,0.087749447,0
320155,19981231,103473,0.008031103,0.083021933,0
320155,19990331,106186,0.002184936,0.080861127,0
320155,19990630,108413,0.004821175,0.07796309,0
320155,19990930,112384,0.006735842,0.075753267,0
320155,19991231,108134,0.006896421,0.072973571,0
320155,20000331,112239,0.001880255,0.071757067,0
320155,20000630,115123,0.004718873,0.074800291,0
320155,20000930,115162,0.006244889,0.078004684,0
320155,20001231,136158,0.006705888,0.097770329,0
320155,20010331,133645,-0.002469865,0.094301873,0
320155,20010630,136353,0.000286943,0.095232761,0
320155,20010930,138355,0.002898309,0.09798608,0
320155,20011231,137621,0.002763554,0.085318189,0
320155,20020331,135460,0.002343321,0.085369503,0
320155,20020630,137407,0.004618886,0.091303,0
320155,20020930,137614,0.008542829,0.099494327,0
320155,20021231,131780,0.009422745,0.10020684,0
320155,20030331,128560,0.001168941,0.098709268,0
320155,20030630,136320,0.003296907,0.096626496,0
320155,20030930,136713,0.004913826,0.097136366,0
320155,20031231,130565,0.00731963,0.100089883,0
320155,20040331,138968,0.002255848,0.086593809,0
320155,20040630,148683,0.004734385,0.082796397,0
320155,20040930,153690,0.006849805,0.085091449,0
320155,20041231,159063,0.008236533,0.084536387,0
327949,19950331,66305,0.002841523,0.078709634,0
327949,19950630,66648,0.005504515,0.081140032,0
327949,19950930,66230,0.008548144,0.081065082,0
327949,19951231,66344,0.010392366,0.081141476,0
327949,19960331,66319,0.002746639,0.081123195,1
327949,19960630,66028,0.005306411,0.082451388,0
327949,19960930,67508,0.008000084,0.083653666,0
327949,19961231,68414,0.010605241,0.084641261,0
327949,19970331,72385,0.002692679,0.083379616,0
327949,19970630,74442,0.005337309,0.082018866,0
327949,19970930,74706,0.008053784,0.085641051,0
327949,19971231,75666,0.010709213,0.088002067,0
327949,19980331,71829,0.002741861,0.089478012,0
327949,19980630,70712,0.005260513,0.091432741,0
327949,19980930,79486,0.007818226,0.092564417,0
327949,19981231,81019,0.010185914,0.090160736,0
327949,19990331,83287,0.0025487,0.088571927,0
327949,19990630,89881,0.004990214,0.087155555,0
327949,19990930,115464,0.005283171,0.069891825,0
327949,19991231,131389,0.005341888,0.060703881,0
327949,20000331,148188,0.001770018,0.063487968,0
327949,20000630,160828,0.003422764,0.060077868,0
327949,20000930,167269,0.004838629,0.061082408,0
327949,20001231,172081,0.005968448,0.063162347,0
327949,20010331,175353,0.002075716,0.064736472,0
327949,20010630,177176,0.004519936,0.067618342,0
327949,20010930,178983,0.00711975,0.06938406,0
327949,20011231,172944,0.009642836,0.068301438,0
327949,20020331,169519,0.003158585,0.07023775,0
327949,20020630,174146,0.006690016,0.074193855,0
327949,20020930,179497,0.010411808,0.075889475,0
327949,20021231,178065,0.01368533,0.073857731,0
327949,20030331,170755,0.004008226,0.073037477,0
327949,20030630,167513,0.007740357,0.074865622,0
327949,20030930,182590,0.011461122,0.070747069,0
327949,20031231,202238,0.01333865,0.071507898,0
327949,20040331,218091,0.003139284,0.070706568,0
327949,20040630,238148,0.006135746,0.069820778,0
327949,20040930,255902,0.008646104,0.069063298,0
327949,20041231,263012,0.010362952,0.067735188,0
333650,19950331,43228,0.004814151,0.084462095,0
333650,19950630,46592,0.009505568,0.087790099,0
333650,19950930,47385,0.014912729,0.093200207,0
333650,19951231,48536,0.020188746,0.089524751,0
333650,19960331,49343,0.005679765,0.083817785,0
333650,19960630,54420,0.010350822,0.086273454,0
333650,19960930,55254,0.013257114,0.086593361,0
333650,19961231,53782,0.014650018,0.084114375,0
333650,19970331,53841,0.01007805,0.084833161,0
333650,19970630,59129,0.017836137,0.090725502,0
333650,19970930,58421,0.022743848,0.088328451,0
333650,19971231,59444,0.028405191,0.083172506,0
333650,19980331,59611,0.005734812,0.092616627,0
333650,19980630,63667,0.013404216,0.099288077,0
333650,19980930,63614,0.018389159,0.093975149,0
333650,19981231,60583,0.02131466,0.086197348,0
333650,19990331,60290,0.006263238,0.079257408,0
333650,19990630,62627,0.008506196,0.079500581,0
333650,19990930,60834,0.016392751,0.087436919,0
333650,19991231,59617,0.022171006,0.072969886,0
333650,20000331,57714,0.00749534,0.079187988,0
333650,20000630,60206,0.017653853,0.091048131,0
333650,20000930,58117,0.024186283,0.085811779,0
333650,20001231,59495,0.026334558,0.089791181,0
333650,20010331,60211,0.006979465,0.090734919,0
333650,20010630,63382,0.015131511,0.099993031,0
333650,20010930,63972,0.021564067,0.095127055,0
333650,20011231,66377,0.029224421,0.097053991,0
333650,20020331,67227,0.006374236,0.107412706,0
333650,20020630,97831,0.011208001,0.082862591,0
333650,20020930,98812,0.005722745,0.102794208,0
333650,20021231,96877,0.008874184,0.099670204,0
